
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              New
dialog_load                             Load
dialog_save                             Save
dialog_saveas                           Save As
dialog_delete                           Delete
dialog_width                            Width
dialog_height                           Height
dialog_name                             Name
dialog_type                             Type
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             Exit
dialog_cancel                           Cancel
dialog_ok                               Ok
dialog_open                             Open
dialog_close                            Close
dialog_closed                           Closed
dialog_add                              Add
dialog_up                               Up
dialog_down                             Down
dialog_yes                              Yes
dialog_no                               No
dialog_loading                          Loading...
dialog_low                              Low
dialog_medium                           Medium
dialog_high                             High
dialog_none                             None
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      Dialog Editor
dialogeditor_back                       Back
dialogeditor_front                      Front
dialogeditor_reloadlanguage             Reload Language
dialogeditor_test                       Test
dialogeditor_window                     Window
dialogeditor_grid                       Grid
dialogeditor_caption                    Caption
dialogeditor_component                  Component
dialogeditor_select						Select
dialogeditor_create						Create
dialogeditor_background                 BG img
dialogeditor_panel                      Panel

dialogcomponent_custom                  Custom
dialogcomponent_button                  Button
dialogcomponent_container               Container
dialogcomponent_caption                 Caption
dialogcomponent_titlecaption            TitleCaption
dialogcomponent_checkbox                Checkbox
dialogcomponent_inputfield              InputField
dialogcomponent_inputslider             InputSlider
dialogcomponent_dropdownmenu            DropDownMenu
dialogcomponent_selectionlist           SelectionList
dialogcomponent_selectionlistitem       SelectionListItem
dialogcomponent_scrollbar               Scrollbar
dialogcomponent_progressbar             ProgressBar
dialogcomponent_canvas                  Canvas
dialogcomponent_iconbox					IconBox

dialogposition_absolute                 Absolute
dialogposition_relative                 Relative
dialogposition_scaled                   Scaled


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          Profiler
profiler_name                           Name
profiler_timings                        Timings
profiler_totaltime                      Total
profiler_glfinishcaption                glFinish
profiler_reset                          Reset


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                Sound Channels
soundeditor_title                       Sound Editor
soundinstanceeditor_title				Sound Instance Editor

soundeditor_positiontitle		        Position Type
soundeditor_instancetitle		        Instance Type
soundeditor_looptitle			        Loop Type
soundeditor_sourcetypetitle		        Sound Type
soundeditor_soundnametitle		        Sound Name

soundeditor_volumetitle			        Volume
soundeditor_frequencytitle              Frequency
soundeditor_mindistancetitle            Min Distance
soundeditor_attacktitle                 Attack
soundeditor_sustaintitle                Sustain
soundeditor_releasetitle                Release
soundeditor_loopdelaytitle              Loop Delay
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              Next Event

soundeditor_play                        Play
soundeditor_stop                        Stop

soundparametereditor_title              Sound Parameter
soundparametereditor_typetitle          Type
soundparametereditor_linktitle          Linked To
soundparametereditor_updatetitle        Update Type
soundparametereditor_smoothing          Smoothing
soundparametereditor_chaintitle         Chain

soundeditor_newdsp                      Add DSP
sounddspeditor_title                    DSP Editor
samplebankeditor_title                  Sample Bank Editor
samplebankeditor_addsample              Add Sound
samplebank                              (Sample Bank)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            Done
interfacemode_destroy                         Destroy
interfacemode_foundations				      Foundations
interfacemode_construction                    Materials
interfacemode_planning                        Planning
interfacemode_objects                         Objects
interfacemode_designation                     Rooms
interfacemode_utilities                       Utilities
interfacemode_staff                           Staff
interfacemode_deployment                      Deployment
interfacemode_prisoners                       Prisoners
interfacemode_needs                           Needs
interfacemode_threats                         Threats
interfacemode_overlays                        Overlays
interfacemode_research                        Bureaucracy
interfacemode_emergencies                     Emergencies
interfacemode_spawn                           (Spawn)
interfacemode_clone                           Clone
interfacemode_properties                      (Properties)
interfacemode_contraband                      Contraband

interfaceoverlay_security                       Security
interfaceoverlay_patrols                        Patrols
interfaceoverlay_decay                          Decay
interfaceoverlay_territory                      Territory
interfaceoverlay_contraband                     Contraband

interfaceproperty_indoor                        Indoor
interfaceproperty_visible                       Visible
interfaceproperty_territoryprisoner             Gangs
interfaceproperty_territoryguard                Guards
interfaceproperty_sectorprisoner                Rioting
interfaceproperty_tunnel                        Tunnel

interfacedeployment_guards                      Guards
interfacedeployment_patrols                     Guard Patrols
interfacedeployment_dogpatrols                  Dog Patrols
interfacedeployment_jobs                        Jobs
interfacedeployment_securearea                  SecureArea
interfacedeployment_Nozone                      Gen Pop
interfacedeployment_sharedzone                  Shared
interfacedeployment_staffonlyzone               Staff Only
interfacedeployment_maxseczone                  Max Sec
interfacedeployment_minseczone                  Min Sec
interfacedeployment_unlockedzone                Unlocked
interfacedeployment_zonered                     Red Wing
interfacedeployment_zonegreen                   Green Wing
interfacedeployment_zoneblue                    Blue Wing
interfacedeployment_zoneyellow                  Yellow Wing

interfaceplanning_wall							Walls
interfaceplanning_object						Objects
interfaceplanning_route							Pathways

interfacecontraband_source                      Dangers
interfacecontraband_day                         -24 Hours
interfacecontraband_week                        -7 days
interfacecontraband_alltime                     All Time

interfacetopbar_todo							Todo list
interfacetopbar_balance							Bank *B
interfacetopbar_budget							Cashflow *C
interfacetopbar_income							Income *I
interfacetopbar_expenses						Costs *C
interfacetopbar_day								DAY *D

interfacetopbar_title_balance					Bank Balance
interfacetopbar_title_budget					Daily Cashflow
interfacetopbar_title_cctv						CCTV
interfacetopbar_title_day						Day
interfacetopbar_title_prisoners					Prisoners
interfacetopbar_title_guards					Guards
interfacetopbar_title_tension                   Danger

interfacetopbar_tooltip_balance					How much cash you have in the bank.
interfacetopbar_tooltip_budget					The amount of money you will receive each day,based on your current expenses and income.
interfacetopbar_tooltip_cctv					The number of CCTV cameras and monitors you currently have.
interfacetopbar_tooltip_day						How long you've been running your prison.
interfacetopbar_tooltip_prisoners				The number of prisoners you currently have, and how many you can hold, in your prison.
interfacetopbar_tooltip_guards					How many guards you have available for work in your prison.
interfacetopbar_tooltip_tension                 The overall danger level of your prison, according to your security chief

interfacetopbar_tooltip_totalguards             *X total guards
interfacetopbar_tooltip_guardincapacitated      *X Incapacitated
interfacetopbar_tooltip_guardstationed          *X Stationed 
interfacetopbar_tooltip_guardpatrolling         *X Patrolling
interfacetopbar_tooltip_guardavailable          *X Available
interfacetopbar_tooltip_guardresting            *X Resting
interfacetopbar_tooltip_guardactive             (*X Responding to incidents)
interfacetopbar_tooltip_guarddoingjob           (*X Assigned job)
interfacetopbar_tooltip_idle                    (*X are idle)

interfacetopbar_budget_moneyin					Money In: $*M /day
interfacetopbar_budget_moneyout					Money Out: $*M /day

interfacetopbar_prisoners_types					Currently holding *X Prisoners:
interfacetopbar_prisoners_capacity              Maximum safe capacity: *X

interfacetopbar_cctv_current					Currently running *C cameras
interfacetopbar_cctv_cap						Space for *C cameras

interfacetopbar_tension_currentlevel            The danger level is *X
interfacetopbar_tension_increasing              and is increasing
interfacetopbar_tension_decreasing              and is decreasing
interfacetopbar_tension_description             FACTORS:
interfacetopbar_tension_happyprisoners          - *X prisoners say they are well treated
interfacetopbar_tension_unhappyprisoners        + *X prisoners have serious complaints
interfacetopbar_tension_lockedupprisoners       + *X prisoners are locked up for no reason
interfacetopbar_tension_riotingprisoners        + *X prisoners are rioting
interfacetopbar_tension_wellfedprisoners        - *X prisoners are well fed
