###INFO###
###INFO###			Ä --> \
###INFO###			Ö --> |
###INFO###			Ü --> @
###INFO###			ä --> ^
###INFO###			ö --> `
###INFO###			ü --> _
###INFO###			ß --> ;
###INFO###
###INFO###			\n --> Absatz
###INFO###

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Basic dialog strings																																													###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

dialog_new															Neu
dialog_load															Laden
dialog_save															Speichern
dialog_saveas														Speichern unter
dialog_delete														L`schen
dialog_width														Breite
dialog_height														H`he
dialog_name															Name
dialog_type															Typ
dialog_x															X
dialog_y															Y
dialog_z															Z
dialog_w															B
dialog_h															H
dialog_exit															Spiel beenden
dialog_cancel														Abbrechen
dialog_ok															Ok
dialog_open															Ge`ffnet
dialog_close														Schlie;en
dialog_closed														Geschlossen
dialog_add															Hinzuf_gen
dialog_up															Hoch
dialog_down															Runter
dialog_yes															Ja
dialog_no															Nein
dialog_loading														Laden...
dialog_low															Niedrig
dialog_medium														Mittel
dialog_high															Hoch
dialog_none															Keinen
ellipsis															...

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Dialog Editor																																															###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

dialogeditor_title													Dialog Editor
dialogeditor_back													Zur_ck
dialogeditor_front													Front
dialogeditor_reloadlanguage											Sprache neuladen
dialogeditor_test													Test
dialogeditor_window													Fenster
dialogeditor_grid													Gitter
dialogeditor_caption												Titel
dialogeditor_component												Bestandteil
dialogeditor_select													Ausw^hlen
dialogeditor_create													Erstellen
dialogeditor_background												Hintergrundbild
dialogeditor_panel													Panel

dialogcomponent_custom												Individuell
dialogcomponent_button												Button
dialogcomponent_container											Beh^lter
dialogcomponent_caption												Caption
dialogcomponent_titlecaption										TitleCaption
dialogcomponent_checkbox											Checkbox
dialogcomponent_inputfield											InputField
dialogcomponent_inputslider											InputSlider
dialogcomponent_dropdownmenu										DropDownMenu
dialogcomponent_selectionlist										SelectionList
dialogcomponent_selectionlistitem									SelectionListItem
dialogcomponent_scrollbar											Scrollbar
dialogcomponent_progressbar											ProgressBar
dialogcomponent_canvas												Canvas
dialogcomponent_iconbox												IconBox

dialogposition_absolute												Absolute
dialogposition_relative												Relative
dialogposition_scaled												Scaled

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Profiler																																																###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

profiler_title														Profiler
profiler_name														Name
profiler_timings													Timings
profiler_totaltime													Total
profiler_glfinishcaption											glFinish
profiler_reset														Reset

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Sound tools																																																###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

soundchannelviewer_title											Sound Channels
soundeditor_title													Sound Editor
soundinstanceeditor_title											Sound Instance Editor

soundeditor_positiontitle											Position Type
soundeditor_instancetitle											Instance Type
soundeditor_looptitle												Loop Type
soundeditor_sourcetypetitle											Sound Type
soundeditor_soundnametitle											Sound Name

soundeditor_volumetitle												Volume
soundeditor_frequencytitle											Frequency
soundeditor_mindistancetitle										Min Distance
soundeditor_attacktitle												Attack
soundeditor_sustaintitle											Sustain
soundeditor_releasetitle											Release
soundeditor_loopdelaytitle											Loop Delay
soundeditor_dsptitle												DSP
soundeditor_nexteventtitle											Next Event

soundeditor_play													Play
soundeditor_stop													Stop

soundparametereditor_title											Sound Parameter
soundparametereditor_typetitle										Type
soundparametereditor_linktitle										Linked To
soundparametereditor_updatetitle									Update Type
soundparametereditor_smoothing										Smoothing
soundparametereditor_chaintitle										Chain

soundeditor_newdsp													Add DSP
sounddspeditor_title												DSP Editor
samplebankeditor_title												Sample Bank Editor
samplebankeditor_addsample											Add Sound
samplebank															(Sample Bank)

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Interface																																																###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

interfacemode_done													Erledigt
interfacemode_destroy												Zerst`ren
interfacemode_foundations											Fundamente
interfacemode_construction											Materialien
interfacemode_planning												Planung
interfacemode_objects												Einrichtung
interfacemode_designation											R^ume
interfacemode_utilities												Betriebsmittel
interfacemode_staff													Personal
interfacemode_deployment											Stationierung
interfacemode_prisoners												Gefangene
interfacemode_needs													Bed_rfnisse
interfacemode_threats												Bedrohungen
interfacemode_overlays												Overlays
interfacemode_research												Forschung
interfacemode_emergencies											Notf^lle
interfacemode_spawn													[DEV] Spawn
interfacemode_clone													Klonen
interfacemode_properties											[DEV] Properties
interfacemode_contraband											Schmuggel

interfaceoverlay_security											Sicherheit
interfaceoverlay_patrols											Patrouillen
interfaceoverlay_decay												Verfall
interfaceoverlay_territory											Bereich
interfaceoverlay_contraband											Schmuggel

interfaceproperty_indoor											Innenliegend
interfaceproperty_visible											Sichtbar
interfaceproperty_territoryprisoner									Banden
interfaceproperty_territoryguard									Banden-Wachen
interfaceproperty_sectorprisoner									Randalierend
interfaceproperty_tunnel											Tunnel

interfacedeployment_guards											Stationierung
interfacedeployment_patrols											Patrouillen
interfacedeployment_dogpatrols										Hundepatrouillen
interfacedeployment_jobs											Arbeitspl^tze
interfacedeployment_securearea										Gesichertes Gebiet
interfacedeployment_Nozone											Normale Sicherung
interfacedeployment_sharedzone										Gemeinsamer Bereich
interfacedeployment_staffonlyzone									Nur f_r Personal
interfacedeployment_maxseczone										Hohe Sicherung
interfacedeployment_minseczone										Niedrige Sicherung
interfacedeployment_medseczone										Normale Sicherung
interfacedeployment_unlockedzone									Entriegelt
interfacedeployment_zonered											Roter Fl_gel
interfacedeployment_zonegreen										Gr_ner Fl_gel
interfacedeployment_zoneblue										Blauer Fl_gel
interfacedeployment_zoneyellow										Gelber Fl_gel

interfaceplanning_wall												W^nde
interfaceplanning_object											Einrichtung
interfaceplanning_route												Route

interfacecontraband_source											Gefahrenquelle
interfacecontraband_day												Letzte 24 Stunden
interfacecontraband_week											Letzte 7 Tage
interfacecontraband_alltime											Alle

interfacetopbar_todo												Todo-Liste
interfacetopbar_balance												Bank *B
interfacetopbar_budget												Umsatz *C
interfacetopbar_income												Einnahmen *I
interfacetopbar_expenses											Ausgaben *C
interfacetopbar_day													Tag *D

interfacetopbar_title_balance										Bankguthaben
interfacetopbar_title_budget										T^gliches Einkommen
interfacetopbar_title_cctv											Kamera_berwachung
interfacetopbar_title_day											Tag
interfacetopbar_title_prisoners										Gefangene
interfacetopbar_title_guards										W^chter
interfacetopbar_title_tension										Gefahrenstufe

interfacetopbar_tooltip_balance										Dein verf_gbares Geld, dass du ausgeben kannst.
interfacetopbar_tooltip_budget										Dein t^glicher Umsatz, errechnet aus den aktuellen Einnahmen und Ausgaben.
interfacetopbar_tooltip_cctv										Die aktuelle Anzahl der installierten @berwachungskameras.
interfacetopbar_tooltip_day											So lange ist dein Gef^ngnis bereits ge`ffnet.
interfacetopbar_tooltip_prisoners									Die Anzahl der aktuell inhaftierten Gefangenen und die maximale Kapazit^t deines Gef^ngnisses.
interfacetopbar_tooltip_guards										Die Anzahl der Wachen, die du eingestellt hast und womit sie gerade besch^ftigt sind.
interfacetopbar_tooltip_tension										Die aktuelle Gefahrenstufe, eingesch^tzt von deinem Sicherheitschef.

interfacetopbar_tooltip_totalguards									*X eingestellte W^chter
interfacetopbar_tooltip_guardincapacitated							*X arbeitsunf^hig
interfacetopbar_tooltip_guardstationed								*X stationiert
interfacetopbar_tooltip_guardpatrolling								*X patrouillieren
interfacetopbar_tooltip_guardavailable								*X verf_gbar
interfacetopbar_tooltip_guardresting								*X ausruhend
interfacetopbar_tooltip_guardactive									(*X reagieren auf Zwischenf^lle)
interfacetopbar_tooltip_guarddoingjob								(*X mit Aufgaben betraut)
interfacetopbar_tooltip_idle										(*X faulenzen)

interfacetopbar_budget_moneyin										Einnahmen: $*M pro Tag
interfacetopbar_budget_moneyout										Ausgaben: $*M pro Tag

interfacetopbar_prisoners_types										Aktuell inhaftierte Gefangene: *X
interfacetopbar_prisoners_capacity									Maximal m`gliche Kapazit^t: *X

interfacetopbar_cctv_current										Aktuell laufen *C Kameras
interfacetopbar_cctv_cap											Platz f_r *C weitere Kameras

interfacetopbar_tension_currentlevel								Die Gefahrenstufe ist *X
interfacetopbar_tension_increasing									und steigt
interfacetopbar_tension_decreasing									und f^llt
interfacetopbar_tension_description									FAKTOREN:
interfacetopbar_tension_happyprisoners								- *X Gefangene sagen, dass sie gut behandelt werden
interfacetopbar_tension_unhappyprisoners							+ *X Gefangene haben ernsthafte Beschwerden
interfacetopbar_tension_lockedupprisoners							+ *X Gefangene sind ohne Grund eingeschlossen
interfacetopbar_tension_riotingprisoners							+ *X Gefangene proben einen Aufstand
interfacetopbar_tension_wellfedprisoners							- *X Gefangene haben gut gegessen
interfacetopbar_tension_suppressedprisoners							= *X Gefangene sind mental unterdr_ckt (Beschwerde)
interfacetopbar_tension_activeriotguards							+ *X Bereitschaftspolizei ist vor Ort
interfacetopbar_tension_recentdeaths								+ *X Menschen wurden vor Kurzem umgebracht
interfacetopbar_tension_recentsearches								+ *X Gefangene wurden vor Kurzem unn`tig durchsucht
interfacetopbar_tension_recentpunishments							= (ABSCHRECKUNG) *X Bestrafungen wurden vor Kurzem verk_ndet

interface_foundationsinprogress										Fundamentsbau im Gang
riot_underway														AUFSTAND IM VOLLEM GANGE
riot_status_prisoners												*X Gefangene proben einen Aufstand
shakedown_underway													DURCHSUCHUNG IM GANGE
shakedown_found														Gefunden:

gameover_caption													Dr_cke ESC um fortzusetzen

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Hardware Compatibility																																													###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

hardware_compat_title												Hardware Kombatibilit^ts-Test
hardware_compat_message												Mit deiner Einwilligung w_rden wir gerne die folgenden Informationen _ber die Hardware deines PCs sammeln.\n\nDiese Daten werden komplett anonym ausgewertet und werden uns helfen, dass Prison Architect eine m`glichst gro;e Bandbreite and Hardware unterst_tzt.\n\nVielen Dank!
hardware_compat_accept												Akzeptieren
hardware_compat_decline												Ablehnen

###INFO### ===============================================================================================================================================================================================================  ###INFO###
###INFO### 			Build Toolbar																																															###INFO###
###INFO### ===============================================================================================================================================================================================================  ###INFO###

buildtoolbar_title													Build
buildtoolbar_reports												Klemmbrett
buildtoolbar_bangup													Arrest
buildtoolbar_lockdown												Abriegelung
buildtoolbar_shakedown												Durchsuchung

buildtoolbar_tooltip_reports										Schaue auf dein Klemmbrett, um Informationen _ber deine Gefangene, dein Personal, deine Finanzlage und vieles mehr zu bekommen.
buildtoolbar_tooltip_bangup											Schicke alle gewillten Gefangene in ihre Zellen. Falls du sie zu lange einsperrt werden sie jedoch sehr ver^rgert...
buildtoolbar_tooltip_lockdown										Verschlie;t und sperrt sofort alle T_ren in deinem Gef^ngnis.
buildtoolbar_tooltip_shakedown										Ordne eine sofortige Durchsuchung aller Zellen an. Das wird deinen Inhaftierten allerdings garnicht gefallen.

buildtoolbar_cost													Kosten: $*C
buildtoolbar_cost_sqrft												Kosten: $*C /qm
buildtoolbar_wages													T^glicher Lohn: $*W /Tag
buildtoolbar_outdoor												Nur im Freien.
buildtoolbar_indoor													Nur in Geb^uden.
buildtoolbar_walk_speed												Laufgeschwindigkeit: *S
buildtoolbar_walk_speed_slow										Langsam
buildtoolbar_walk_speed_norm										Normal
buildtoolbar_walk_speed_fast										Schnell
buildtoolbar_locked													GESPERRT (Du musst erst "*B" freischalten)
buildtoolbar_room													Raum

buildtoolbar_popup_foundations										Baue und zerst`re Fundamente, um dein Gef^ngnis grundlegend zu gestalten.
buildtoolbar_popup_construction										Verschiedene Typen von Bodenbel^gen, Mauern und Z^unen.
buildtoolbar_popup_planning											Plane mit diesem Hilfsmittel dein Gef^ngnis, ohne Angst haben zu m_ssen, dass deine Schneem^nner wirklich etwas davon bauen.
buildtoolbar_popup_designation										Weise verschiedenen Gebieten oder R^umen eine bestimmte Funktion zu, wie zum Beispiel Dusche, K_che, B_ro, oder ^hnliches.
buildtoolbar_popup_objects											Platziere Gegenst^nde und Einrichtung in und um dein Gef^ngnis herum.
buildtoolbar_popup_overlays											[DEV] Visually identify weaknesses in your prison's layout.
buildtoolbar_popup_utilities										Deine Wasser- und Stromversorgung.
buildtoolbar_popup_staff											Stelle die notwendigen Personen ein, um dein Gef^ngnis am Laufen zu halten.
buildtoolbar_popup_deployment										Ordne deinem Personal verschiedenen Gebieten in deinem Gef^ngnis zu.
buildtoolbar_popup_research											Erforsche neue M`glichkeiten f_r dein Gef^ngnis.
buildtoolbar_popup_emergencies										Fordere Notfalldienste an, falls es dir zu brenzlich wird.
buildtoolbar_popup_spawn											[DEV] Spawn? The fuck does this do?
buildtoolbar_popup_clone											Faulheit ist die Mutter aller Erfindungen.
buildtoolbar_popup_properties										[DEV] Find out about shit.
buildtoolbar_popup_contraband										Eine @bersicht _ber m`gliche Quellen von Schmuggelware in deinem Gef^ngnis, sowie _ber k_rzlich wiedergefundene, geschmuggelte Gegenst^nde.

buildtoolbar_popup_room_cell										Die typische Zelle f_r deine Insassen.
buildtoolbar_popup_room_holdingcell									Ein geselliges Pl^tzchen, wo deine neusten Errungenschaften untergebracht werden, bis eine Zelle f_r sie frei wird.
buildtoolbar_popup_room_solitary									Ein abgelegener Raum, wo die Schlimmsten der Schlimmsten bei Fehlverhalten tempor^r eingekerkert und isoliert werden.
buildtoolbar_popup_room_canteen										Hier treffen sich deine Gefangene, um bei Kaffee und Kuchen zu tratschen.
buildtoolbar_popup_room_kitchen										Der Arbeitsplatz f_r deine 5-Sterne-K`che, um den Gefangenen ein K^sebrot zu schmieren.
buildtoolbar_popup_room_shower										Wird ben`tigt, um deine Gefangenen sauber und frei von L^usen zu halten. Lass blo; nicht die Seife fallen...
buildtoolbar_popup_room_yard										Lass deine Insassen ab und zu ein paar Sonnenstrahlen sehen. Nat_rlich nur unter strickter Aufsicht deiner Wachen.
buildtoolbar_popup_room_storage										Ein Gebiet, in welchem deine Schneem^nner alle Materialien und Objekte einlagern, die du gekauft, aber nicht verbaut hast.
buildtoolbar_popup_room_deliveries									Hier werden gekaufte Waren, nachgelieferten Materialien und auch deine neuen Gefangenen abgeliefert.
buildtoolbar_popup_room_garbage										Hier holen die Lieferwagen deinen M_ll ab.
buildtoolbar_popup_room_execution									Manche nennen es "Das j_ngste Gericht", mache einfach "Elektrischer Stuhl". Nichtsdestotrotz sollte man sich nicht einfach so daraufsetzen.
buildtoolbar_popup_room_workshop									Schicke deine Gefangenen hier zur Zwangsarbeit, wo sie dir Nummernschilder und Holzplanken fertigen, welche t^glich verkauft werden.
buildtoolbar_popup_room_security									[Hat aktuell keinen wirklichen Nutzen] Ein Raum nur f_r deine Wachen.
buildtoolbar_popup_room_office										Ein B_roraum f_r dein Verwaltungspersonal um Kaffee zu schl_rfen und die Beine hochzulegen.
buildtoolbar_popup_room_medicalward									Ob ein Splitter im Daumen oder ein Pfeil im Knie - irgendwann landen sie alle hier.
buildtoolbar_popup_room_morgue										Hier werden tote Gefangenen und get`tetes Personal mit einem Zettelchen am gro;en Zeh k_hl gelagert, bis sie vom Leichenwagen abgeholt werden.
buildtoolbar_popup_room_commonroom									Erlaube deinen Insassen ein bisschen Freizeit, um zu entspannen und sich abzureagieren.
buildtoolbar_popup_room_laundry										Damit die Gefangenen auch was h_bsches, sauberes zum Anziehen haben, wenn die Familie, oder der Anwalt zu Besuch kommt.
buildtoolbar_popup_room_visitation									Alle freuen sich _ber den Besuch und manch Andere auch _ber den Kuchen mit eingebackener Feile.
buildtoolbar_popup_room_cleaningcupboard							Was die Gefangenen dreckig machen, d_rfen sie auch selber sauber machen.
buildtoolbar_popup_room_kennel										Hier leben deine Hunde und ruhen sich bei Bedarf aus.
buildtoolbar_popup_room_staffroom									Ein paar Sofas, eine kalte Cola und innerhalb einer Stunde ist dein Personal wieder in H`chstform.

buildtoolbar_popup_obj_bed											Nicht zu weich, nicht zu hart, sondern genau richtig... auf jeden Fall "gut" genug f_r Verbrecher.
buildtoolbar_popup_obj_toilet										Wenn man allen diesen Exzentrikern Glauben schenken soll, dann ist dies ein durchaus wichtiges Objekt f_r die meisten Menschen.
buildtoolbar_popup_obj_table										Harmoniert super mit einer Bank.
buildtoolbar_popup_obj_chair										Man kann wahrscheinlich darauf sitzen.
buildtoolbar_popup_obj_bench										Harmoniert super mit einem Tisch.
buildtoolbar_popup_obj_electricchair								2000V voller Gerechtigkeit.
buildtoolbar_popup_obj_jaildoor										L^sst deine Gefangenen dort bleiben, wo sie sein sollen.
buildtoolbar_popup_obj_jaildoorlarge								L^sst viele deiner Gefangen dort bleiben, wo sie sein sollen.
buildtoolbar_popup_obj_door											Eine einfache T_r.
buildtoolbar_popup_obj_solitarydoor									Eine stark gepanzerte Gef^ngnist_r, um sogar die st^rksten Insassen an der Flucht zu hindern.
buildtoolbar_popup_obj_staffdoor									Eine modische, gr_ne T_r, nur f_r dein Personal.
buildtoolbar_popup_obj_window										Um einen fl_chtigen Blick auf ein bisschen Sonne zu erhaschen.
buildtoolbar_popup_obj_windowlarge									Um einen fl_chtigen Blick auf viel Sonne zu erhaschen.
buildtoolbar_popup_obj_tree											Deine M`glichkeit, um die globale Erw^rmung ein wenig einzud^mmen. Zudem k`nnen B^ume von deinen Schneem^nnern gef^llt werden, welche in der Werkstatt weiter verarbeitet werden k`nnen.
buildtoolbar_popup_obj_light										Stelle sicher, dass du deine Insassen zu jeder Uhrzeit auch gut siehst.
buildtoolbar_popup_obj_cooker										Gebe deinen Gefangenen den Luxus von warmen Essen.
buildtoolbar_popup_obj_fridge										Bewahrt deine Lebensmittelvorr^te vor der sicheren Verrottung.
